GSM1986071	-925.6262021618224
GSM1986075	-953.9914154839645
GSM1986080	-878.7217093205534
GSM1986081	-917.6037468535869
GSM1986082	-977.831473707307
GSM1986087	-781.6970698407154
GSM1986088	-969.1376046238265
GSM1986089	-774.2384182616782
GSM1986091	-794.873049560876
GSM1986093	-830.6604633936744
GSM1986094	-1045.2918609529931
GSM1986095	-796.9307659390997
GSM1986096	-992.1075064597618
GSM1986097	-885.7866566139436
GSM1986098	-1053.623617371746
GSM1986100	-850.0126976404483
GSM1986102	-773.9216120606075
GSM1986109	-876.1351562122833
GSM1986110	-784.1957933378135
GSM1986112	-758.3915854529708
GSM1986116	-798.5488169002523
GSM1986117	-954.5901716694909
GSM1986118	-789.005726290162
GSM1986119	-909.8045475264311
GSM1986122	-772.9552557439024
GSM1986123	-962.6334266041656
GSM1986124	-810.5885920362845
GSM1986126	-961.6810384402232
GSM1986127	-928.7997052906496
GSM1986131	-1001.4587204451907
GSM1986132	-760.4276151551061
GSM1986133	-849.1554296857353
GSM1986136	-950.8037481354847
GSM1986137	-927.4528255412539
GSM1986140	-891.9753198793926
GSM1986142	-798.8886816558456
GSM1986144	-1007.2232851023485
GSM1986069	-786.3555136512597
GSM1986070	-900.5759748783418
GSM1986072	-764.8714190754902
GSM1986073	-794.8584281195194
GSM1986074	-1172.4861923408137
GSM1986076	-723.403814785063
GSM1986077	-748.511770311014
GSM1986078	-740.0008000831755
GSM1986079	-721.7188692955147
GSM1986083	-760.5202867083854
GSM1986084	-710.5102783380636
GSM1986085	-806.6037302536039
GSM1986086	-816.0257646402328
GSM1986090	-742.5050173902692
GSM1986092	-945.3881155366726
GSM1986099	-1169.4821823312784
GSM1986101	-899.3083935721513
GSM1986103	-799.9981803285054
GSM1986104	-906.6542201372515
GSM1986105	-773.6079776403117
GSM1986106	-1170.7039595914541
GSM1986107	-713.5692167609441
GSM1986108	-909.7591462656404
GSM1986111	-717.2854367804945
GSM1986113	-943.0826229060737
GSM1986114	-774.9465139695155
GSM1986115	-667.095401233456
GSM1986120	-814.1942042159844
GSM1986121	-799.6036607464923
GSM1986125	-643.1127397447124
GSM1986128	-1158.9179336277498
GSM1986129	-751.3150613691216
GSM1986130	-750.6195283814296
GSM1986134	-804.4448747261497
GSM1986135	-728.197665176729
GSM1986138	-743.7441013555082
GSM1986139	-864.959758139695
GSM1986141	-755.1644428721884
GSM1986143	-797.668595940976
GSM1986145	-736.1517044274951
