q_value	p_value	UCSC_RefGene_Accession
0.00016202596432167004	2.08259594243792e-08	NM_020998
0.00016660487498837846	4.282901670652406e-08	NM_022064
0.0027040496078548984	3.899337591830498e-06	NM_181677
0.0027040496078548984	3.899337592446902e-06	NM_181678
0.0027040496078548984	4.9655319591421894e-06	NM_181676
0.0027040496078548984	4.965531959317079e-06	NM_181674
0.0027040496078548984	5.999918184517804e-06	NM_001127381
0.0027040496078548984	6.024347980568785e-06	NM_001794
0.0027040496078548984	6.340781574725349e-06	NM_004576
0.0027040496078548984	6.340781576944687e-06	NM_181675
0.0027040496078548984	6.996051301640891e-06	NM_020815
0.0027040496078548984	7.160804232733878e-06	NM_005504
0.0027040496078548984	7.630626443134968e-06	NR_002948
0.0027040496078548984	7.644628063519847e-06	NM_032961
0.0027040496078548984	1.0141919063804507e-05	NM_175913
0.0027040496078548984	1.094726003061688e-05	NM_022068
0.0027040496078548984	1.3953826217604558e-05	NM_004064
0.0027040496078548984	1.4699780645454052e-05	NM_003957
0.0027040496078548984	1.4849121292701373e-05	NM_199167
0.0027040496078548984	1.871459842971108e-05	NM_033054
0.0027040496078548984	1.943456488721026e-05	NM_020433
0.0027040496078548984	2.1882688092958417e-05	NM_005849
0.0027040496078548984	2.233534216204584e-05	NM_152325
0.0027040496078548984	2.4693330993495954e-05	NM_030572
0.0027040496078548984	2.469629259349785e-05	NM_001962
0.0027040496078548984	2.500824058021888e-05	NM_021096
0.0027040496078548984	2.500824058021968e-05	NM_001003406
0.0027040496078548984	2.8510810841175297e-05	NM_001017405
0.0027040496078548984	2.851081084145235e-05	NM_005882
0.0027040496078548984	2.9790351141430292e-05	NM_001039659
0.0027040496078548984	2.9790351141431186e-05	NM_001039660
0.0027040496078548984	3.0156688289153436e-05	NM_002996
0.0027040496078548984	3.095241538777318e-05	NR_003679
0.0027040496078548984	3.150163849002441e-05	NM_005148
0.0027040496078548984	3.150163849002512e-05	NM_054035
0.0027040496078548984	3.346937766044551e-05	NM_003062
0.0027040496078548984	3.405652351251601e-05	NM_001101314
0.0027040496078548984	3.405652351251619e-05	NM_001101312
0.0027040496078548984	3.4056523512516514e-05	NM_001101311
0.0027040496078548984	3.477746887857437e-05	NM_015419
0.0027040496078548984	3.536651572686661e-05	NM_024490
0.0027040496078548984	3.538673418579871e-05	NM_020911
0.0027040496078548984	3.5649841858978806e-05	NR_031591
0.0027040496078548984	3.604172653941054e-05	NM_032554
0.0027040496078548984	3.6241449962655346e-05	NR_003551
0.0027040496078548984	3.7254196512701774e-05	NM_001145057
0.0027040496078548984	3.725419651270227e-05	NM_001145055
0.0027040496078548984	3.725419651270339e-05	NM_173042
0.0027040496078548984	3.7336483977973905e-05	NM_001042389
0.0027040496078548984	3.7336483977973986e-05	NM_001042357
0.0027040496078548984	3.740104315807631e-05	NR_027019
0.0027040496078548984	3.798997722392295e-05	NM_001135086
0.0027040496078548984	3.8121521972683944e-05	NM_012190
0.0027040496078548984	3.973579936842157e-05	NM_020982
0.0027040496078548984	3.9818126655783e-05	NM_021622
0.0027040496078548984	4.116535984444103e-05	NM_005672
0.0027040496078548984	4.117678756885868e-05	NM_003872
0.0027040496078548984	4.117678756885946e-05	NM_201266
0.0027040496078548984	4.117678756886006e-05	NM_201279
0.0027040496078548984	4.2047304256712665e-05	NM_001097589
0.0027040496078548984	4.2047304256713464e-05	NM_005416
0.0027040496078548984	4.27520026583901e-05	NM_002034
0.0027040496078548984	4.321943081430499e-05	NM_007030
0.0027040496078548984	4.452856566515472e-05	NM_001032396
0.0027040496078548984	4.452856566515515e-05	NM_145119
0.0027040496078548984	4.4528565665156485e-05	NM_022368
0.0027040496078548984	4.482429350239618e-05	NM_032872
0.0027040496078548984	4.4922981870358654e-05	NM_006317
0.0027040496078548984	4.5261089043187055e-05	NM_032115
0.0027040496078548984	4.526108904318731e-05	NM_001135107
0.0027040496078548984	4.526108904318756e-05	NM_001135105
0.0027040496078548984	4.591188642069459e-05	NM_053054
0.0027040496078548984	4.652789292566051e-05	NM_001105577
0.0027040496078548984	4.661519241357511e-05	NM_001145774
0.0027040496078548984	4.6937535452375094e-05	NM_001136271
0.0027040496078548984	4.741090324145814e-05	NM_001127231
0.0027040496078548984	4.741090324293354e-05	NM_015570
0.0027040496078548984	4.752439673138442e-05	NM_014020
0.0027040496078548984	4.871598335249841e-05	NM_001080519
0.0027040496078548984	4.93389877684051e-05	NM_014817
0.0027040496078548984	4.9862138041624726e-05	NM_001145808
0.0027040496078548984	4.986213804162498e-05	NM_000632
0.0027040496078548984	5.114955626659571e-05	NM_022449
0.0027040496078548984	5.1838640084951995e-05	NR_024342
0.0027040496078548984	5.201380067495622e-05	NM_001134408
0.0027040496078548984	5.320651688361173e-05	NR_003936
0.0027040496078548984	5.448074921350646e-05	NM_001139441
0.0027040496078548984	5.448074921350646e-05	NM_001139457
0.0027040496078548984	5.535423838483133e-05	NM_018304
0.0027040496078548984	5.563515503735977e-05	NM_020426
0.0027040496078548984	5.5874793634271895e-05	NM_000863
0.0027040496078548984	5.615960184199804e-05	NM_001135106
0.0027040496078548984	5.6244718936134785e-05	NM_139172
0.0027040496078548984	5.6980929935175034e-05	NM_001164760
0.0027040496078548984	5.702408270515022e-05	NM_001164758
0.0027040496078548984	5.7024082705158675e-05	NM_001164759
0.0027040496078548984	5.744672419484951e-05	NM_172239
0.0027040496078548984	5.8048742126793616e-05	NM_172103
0.0027040496078548984	5.804874213980643e-05	NM_004100
0.0027040496078548984	5.804874214545864e-05	NM_172105
0.0027040496078548984	5.8331304048354935e-05	NM_001040411
0.0027040496078548984	5.8331304048355464e-05	NM_001040412
0.0027040496078548984	5.898875257725667e-05	NM_000737
0.0027040496078548984	5.944580711893032e-05	NR_027816
0.0027040496078548984	5.977241699715515e-05	NM_005745
0.0027040496078548984	6.005940250513361e-05	NM_054110
0.0027040496078548984	6.028668350981631e-05	NM_001040664
0.0027040496078548984	6.152616615016083e-05	NM_018440
0.0027040496078548984	6.274851909940038e-05	NM_002784
0.0027040496078548984	6.310128226922045e-05	NM_005975
0.0027040496078548984	6.368454575135407e-05	NM_021803
0.0027040496078548984	6.37283809424153e-05	NM_153609
0.0027040496078548984	6.405004673634372e-05	NM_001656
0.0027040496078548984	6.405004673923916e-05	NM_033227
0.0027040496078548984	6.405004674401876e-05	NM_033228
0.0027040496078548984	6.409953550340129e-05	NM_000445
0.0027040496078548984	6.509311862073628e-05	NM_020822
0.0027040496078548984	6.5615686775452e-05	NR_003545
0.0027040496078548984	6.561568678589913e-05	NM_001093755
0.0027040496078548984	6.56156867957292e-05	NM_024941
0.0027040496078548984	6.561568680161294e-05	NM_001093756
0.0027040496078548984	6.744245883303973e-05	NM_198482
0.0027040496078548984	6.75595452152159e-05	NM_015318
0.0027040496078548984	6.757322408439055e-05	NM_001025295
0.0027040496078548984	6.812512664899185e-05	NM_138284
0.0027040496078548984	6.830824401556032e-05	NM_014581
0.0027040496078548984	6.853039789672132e-05	NM_020162
0.0027040496078548984	6.92784091916066e-05	NM_020901
0.0027040496078548984	6.935702314645964e-05	NM_020386
0.0027040496078548984	7.029894598642584e-05	NM_001134407
0.0027040496078548984	7.029894599712559e-05	NM_000833
0.0027040496078548984	7.078356143782095e-05	NM_004962
0.0027040496078548984	7.116022514005069e-05	NM_001080518
0.0027040496078548984	7.135398644720416e-05	NM_024046
0.0027040496078548984	7.155237537786205e-05	NM_020866
0.0027040496078548984	7.277907791632036e-05	NM_002566
0.0027040496078548984	7.285994057848779e-05	NM_012404
0.0027040496078548984	7.336729082182214e-05	NM_004067
0.0027040496078548984	7.343371884489318e-05	NM_001005176
0.0027040496078548984	7.349298774140805e-05	NM_000594
0.0027040496078548984	7.369645118799996e-05	NR_015448
0.0027040496078548984	7.447762635313186e-05	NM_000949
0.0027040496078548984	7.466645553407387e-05	NM_003255
0.0027040496078548984	7.475124145924098e-05	NM_201267
0.0027040496078548984	7.47512414592457e-05	NM_018534
0.0027040496078548984	7.494924311114549e-05	NM_001135195
0.0027040496078548984	7.665470491552932e-05	NM_020230
0.0027040496078548984	7.704358928267611e-05	NM_015381
0.0027040496078548984	7.707008168342122e-05	NM_181671
0.0027040496078548984	7.707008168343101e-05	NM_012417
0.0027040496078548984	7.856710631570801e-05	NM_002209
0.0027040496078548984	7.856710631570926e-05	NM_001114380
0.0027040496078548984	7.880323373910575e-05	NM_001015878
0.0027040496078548984	7.880323373910575e-05	NM_001015879
0.0027040496078548984	7.880323373910634e-05	NM_003160
0.0027040496078548984	7.940349138303166e-05	NR_024381
0.0027040496078548984	8.12025901860513e-05	NR_029891
0.0027040496078548984	8.169631312023437e-05	NM_001081438
0.0027040496078548984	8.169631312023612e-05	NM_006847
0.0027040496078548984	8.179076141902763e-05	NM_005299
0.0027040496078548984	8.24751976400145e-05	NR_026754
0.0027040496078548984	8.272258629219091e-05	NM_015559
0.0027040496078548984	8.402602757627205e-05	NR_024428
0.0027040496078548984	8.418764726921044e-05	NM_015037
0.0027040496078548984	8.433633439041816e-05	NR_024450
0.0027040496078548984	8.47034898106192e-05	NM_001110199
0.0027040496078548984	8.495649662201581e-05	NR_001434
0.0027040496078548984	8.501882780983348e-05	NM_001736
0.0027040496078548984	8.519012434202442e-05	NM_005521
0.0027040496078548984	8.578565644727613e-05	NM_001142797
0.0027040496078548984	8.578565644727724e-05	NM_001504
0.0027040496078548984	8.826517742228042e-05	NM_152495
0.0027040496078548984	8.832601002394461e-05	NM_024070
0.0027040496078548984	8.860574881126408e-05	NM_001018072
0.0027040496078548984	8.872110115207518e-05	NM_001082967
0.0027040496078548984	8.887526432105934e-05	NM_014903
0.0027040496078548984	9.267017744895515e-05	NR_004846
0.0027040496078548984	9.274924656851786e-05	NR_029700
0.0027040496078548984	9.275200769431988e-05	NM_001127487
0.0027040496078548984	9.275200769432055e-05	NM_001458
0.0027040496078548984	9.314749721044394e-05	NM_001129830
0.0027040496078548984	9.314749721045042e-05	NM_001129832
0.0027040496078548984	9.314749721099275e-05	NM_001129834
0.0027040496078548984	9.31474972111601e-05	NM_000719
0.0027040496078548984	9.314749721124748e-05	NM_001129829
0.0027040496078548984	9.314749721125183e-05	NM_001129844
0.0027040496078548984	9.31474972114908e-05	NM_001129841
0.0027040496078548984	9.314749721150794e-05	NM_001129836
0.0027040496078548984	9.314749721155466e-05	NM_001129842
0.0027040496078548984	9.314749721155687e-05	NM_001129839
0.0027040496078548984	9.314749721160577e-05	NM_001129833
0.0027040496078548984	9.314749721160766e-05	NM_001129846
0.0027040496078548984	9.314749721168859e-05	NM_001167623
0.0027040496078548984	9.314749721169514e-05	NM_001129831
0.0027040496078548984	9.314749721175225e-05	NM_199460
0.0027040496078548984	9.314749721182118e-05	NM_001129838
0.0027040496078548984	9.31474972118827e-05	NM_001129843
0.0027040496078548984	9.31474972120048e-05	NM_001129835
0.0027040496078548984	9.31474972120292e-05	NM_001129837
0.0027040496078548984	9.314749721208468e-05	NM_001129827
0.0027040496078548984	9.314749721217517e-05	NM_001129840
0.0027040496078548984	9.314749721222874e-05	NM_001167624
0.0027040496078548984	9.314749721256399e-05	NM_001167625
0.0027040496078548984	9.366166132991891e-05	NM_181523
0.0027040496078548984	9.392491833794294e-05	NM_001122636
0.0027040496078548984	9.419215309583157e-05	NM_139056
0.0027040496078548984	9.44569956038755e-05	NM_006426
0.0027040496078548984	9.447763509987259e-05	NM_007237
0.0027040496078548984	9.460447761947032e-05	NM_005408
0.0027040496078548984	9.492258996339129e-05	NM_012217
0.0027040496078548984	9.501356979970229e-05	NR_027253
0.0027040496078548984	9.624589621932184e-05	NM_199461
0.0027040496078548984	9.714206961950343e-05	NM_145236
0.0027040496078548984	9.785753955980793e-05	NM_001168499
0.0027040496078548984	9.834178803135726e-05	NM_004097
0.0027040496078548984	9.901059290042175e-05	NM_173842
0.0027040496078548984	9.924557128545502e-05	NM_001165877
0.0027040496078548984	9.973466643539876e-05	NM_021032
0.0027040496078548984	0.00010039355730395645	NM_198152
0.0027040496078548984	0.00010058267143803799	NM_032853
0.0027040496078548984	0.00010162624590426335	NM_145252
0.0027040496078548984	0.00010164641762019817	NM_003974
0.0027040496078548984	0.00010215583185653889	NM_005041
0.0027040496078548984	0.00010215583185653969	NM_001083116
0.0027040496078548984	0.00010224485896388639	NR_003088
0.0027040496078548984	0.00010224485896389015	NR_003087
0.0027040496078548984	0.00010251615757357897	NM_020210
0.0027040496078548984	0.00010367080711456606	NM_022469
0.0027040496078548984	0.00010418973627428617	NR_030393
0.0027040496078548984	0.00010486207195515639	NM_005554
0.0027040496078548984	0.00010491682741902038	NM_001145304
0.0027040496078548984	0.00010491682741902038	NM_001145305
0.0027040496078548984	0.000104916827419021	NM_025249
0.0027040496078548984	0.00010501233224169618	NM_025151
0.0027040496078548984	0.00010501233224169832	NM_001002814
0.0027040496078548984	0.00010574770554659209	NR_002770
0.0027040496078548984	0.0001057780311400476	NM_033033
0.0027040496078548984	0.00010591496867506518	NM_033553
0.0027040496078548984	0.00010679840651697217	NM_172314
0.0027040496078548984	0.00010679840651697281	NM_022789
0.0027040496078548984	0.00010747144093323838	NM_003121
0.0027040496078548984	0.00010826350209257897	NM_001146157
0.0027040496078548984	0.00010873737713294553	NM_201379
0.0027040496078548984	0.00010962180666811757	NM_001162499
0.0027040496078548984	0.00010962180666811836	NM_012298
0.0027040496078548984	0.00011084023591853471	NM_001039111
0.0027040496078548984	0.00011125097389310984	NM_001100817
0.0027040496078548984	0.00011136836192970891	NM_018216
0.0027040496078548984	0.00011181174513863411	NM_001080837
0.0027040496078548984	0.0001132871812337707	NM_001135639
0.0027040496078548984	0.0001135086672864541	NM_020672
0.0027040496078548984	0.00011369201412271992	NM_000362
0.0027040496078548984	0.00011500264404600587	NM_018059
0.0027040496078548984	0.00011539700567113811	NM_012391
0.0027040496078548984	0.00011544201083091665	NM_001148
0.0027040496078548984	0.00011544201083091785	NM_020977
0.0027040496078548984	0.00011550648361002108	NM_002332
0.0027040496078548984	0.00011553308421051251	NM_001080157
0.0027040496078548984	0.00011553308421052072	NM_032496
0.0027040496078548984	0.00011615034584420801	NM_001128590
0.0027040496078548984	0.00011615034584421101	NM_000500
0.0027040496078548984	0.00011629188997496878	NM_080574
0.0027040496078548984	0.00011826650012664939	NR_031740
0.0027040496078548984	0.00011861437640550685	NM_001077194
0.0027040496078548984	0.00011861437640550715	NM_170699
0.0027040496078548984	0.00011861437640551074	NM_001077191
0.0027040496078548984	0.00011918794961141547	NM_145804
0.0027040496078548984	0.00012130896782261693	NM_201378
0.0027040496078548984	0.00012175380413096148	NM_001009
