q_value	p_value	UCSC_RefGene_Accession
0.15693039950317517	7.36190534287592e-06	NR_001580
0.6463492626582263	0.00013170275574483684	NM_017931
0.6463492626582263	0.00014288214914957091	NM_022049
0.6463492626582263	0.00020049660767317796	NM_001161572
0.6463492626582263	0.00020049660767317929	NM_001161574
0.6463492626582263	0.00020049660767317985	NM_012323
0.6463492626582263	0.000293737585399887	NM_001166695
0.6463492626582263	0.0003581944429256975	NM_033513
0.6463492626582263	0.0004687793337003749	NM_052923
0.6463492626582263	0.0004965241299307042	NM_020125
0.6463492626582263	0.0004981290335927505	NM_001005176
0.6463492626582263	0.0004981290335927543	NM_007237
0.6463492626582263	0.0005048424675056851	NM_018275
0.6463492626582263	0.0006250704140033943	NM_012248
0.6463492626582263	0.0006347549999329582	NM_001014985
0.6463492626582263	0.0006499323117412678	NM_001101391
0.6463492626582263	0.0008419298545720169	NM_005408
0.6463492626582263	0.0008556987091815174	NM_001024675
0.6463492626582263	0.0008948186994153761	NM_002185
0.6463492626582263	0.0009000387457161666	NM_001014342
0.6463492626582263	0.0009216158799793838	NM_023008
0.6463492626582263	0.000936274450960281	NM_001098506
0.6463492626582263	0.0009362744509603044	NM_033543
0.6463492626582263	0.0010402224891736262	NM_025257
0.6463492626582263	0.0010527826964341152	NM_025154
0.6463492626582263	0.001052782696434316	NM_001130965
0.6463492626582263	0.0011269649361843538	NM_005260
0.6463492626582263	0.001126964936184356	NM_014402
0.6463492626582263	0.0012685686931471307	NM_016445
0.6463492626582263	0.0012764690243299067	NM_001135864
0.6463492626582263	0.001514626547149343	NM_001144070
0.6463492626582263	0.0015408943553143974	NM_001114090
0.6463492626582263	0.0015729531436174085	NR_027711
0.6463492626582263	0.0016401180277480652	NM_000072
0.6463492626582263	0.0017545848505927033	NM_001161573
0.6463492626582263	0.0017990322205326164	NM_001001547
0.6463492626582263	0.00181401606666423	NM_006526
0.6463492626582263	0.0018874230988157005	NM_018384
0.6463492626582263	0.0019657037050367135	NM_001130143
0.6463492626582263	0.0019657037050367135	NM_017726
0.6463492626582263	0.002014839975256122	NR_027916
0.6463492626582263	0.002041492879179282	NM_000958
0.6463492626582263	0.002045026621279188	NM_012088
0.6463492626582263	0.002094585755675955	NM_001001548
0.6463492626582263	0.0021044271535978227	NM_001711
0.6463492626582263	0.002164346743807565	NM_014672
0.6463492626582263	0.0022782668745736853	NM_152788
0.6463492626582263	0.0024517794371186237	NM_018119
0.6463492626582263	0.0024628930049786575	NM_019841
0.6463492626582263	0.0024680958913314175	NM_032448
0.6463492626582263	0.0024846388024609405	NR_027795
0.6463492626582263	0.0025107224138991306	NM_139248
0.6463492626582263	0.002515894678637389	NM_004866
0.6463492626582263	0.0025687889190219317	NM_001008749
0.6463492626582263	0.002570211156033097	NM_176823
0.6463492626582263	0.0026212953791706736	NM_001113547
0.6463492626582263	0.002744454911445832	NM_003156
0.6463492626582263	0.0027453216678703183	NM_012425
0.6463492626582263	0.002745321667870337	NM_152724
0.6463492626582263	0.002779987155939265	NM_000215
0.6463492626582263	0.0027928538346225634	NM_019054
0.6463492626582263	0.0028603465233412203	NM_019850
0.6463492626582263	0.002874660259661243	NM_017581
0.6463492626582263	0.002879992914447496	NM_153836
0.6463492626582263	0.0028963101608473116	NM_152721
0.6463492626582263	0.0029745879197134993	NM_004708
0.6463492626582263	0.0030089489926923645	NM_024329
0.6463492626582263	0.0030145061753272563	NM_002897
0.6463492626582263	0.0030145061753278054	NM_016836
0.6463492626582263	0.003029663341567925	NM_152615
0.6463492626582263	0.0030296633415679997	NM_001113523
0.6463492626582263	0.0030426351680183095	NM_031232
0.6463492626582263	0.0030426351680183667	NM_031231
0.6463492626582263	0.0030454102741780576	NM_001006666
0.6463492626582263	0.00304541027417812	NM_145298
0.6463492626582263	0.003065048619196921	NM_021622
0.6463492626582263	0.0030921841750735446	NM_145168
0.6463492626582263	0.0031130066062454204	NM_000962
0.6463492626582263	0.003113006606245457	NM_080591
0.6463492626582263	0.003139336958984978	NM_022459
0.6463492626582263	0.0032301315814877206	NM_031456
0.6463492626582263	0.0033134046902949014	NM_144696
0.6463492626582263	0.003313404690294914	NM_182766
0.6463492626582263	0.0033504505205278943	NR_024436
0.6463492626582263	0.00336502021552658	NR_024005
0.6463492626582263	0.00339712753683895	NR_027288
0.6463492626582263	0.0034133982141073037	NM_018252
0.6463492626582263	0.003452368824322773	NM_001558
0.6463492626582263	0.0034523688243227935	NR_026691
0.6463492626582263	0.003513509736903167	NM_032974
0.6463492626582263	0.00357229420967086	NM_001305
0.6463492626582263	0.0036318687487527927	NM_020759
0.6463492626582263	0.0037300575137364403	NM_015934
0.6463492626582263	0.003755818834344758	NM_001145027
0.6463492626582263	0.0037739190289644412	NM_014612
0.6463492626582263	0.003809147680630618	NM_001230
0.6463492626582263	0.0038091476806306553	NM_032977
0.6463492626582263	0.0038743380171307727	NR_003334
0.6463492626582263	0.003943675076698996	NM_175067
0.6463492626582263	0.003990234884786616	NM_152439
0.6463492626582263	0.004019032742977198	NM_001039847
0.6463492626582263	0.004019032742977228	NM_002085
0.6463492626582263	0.0040190327429772445	NM_001039848
0.6463492626582263	0.004210372415060586	NM_000883
0.6463492626582263	0.004210372415060617	NM_001142576
0.6463492626582263	0.004210372415060651	NM_001102605
0.6463492626582263	0.004210372415060651	NM_183243
0.6463492626582263	0.004246963228226959	NM_133491
0.6463492626582263	0.004278654309152205	NM_005838
0.6463492626582263	0.004352528114914712	NM_016001
0.6463492626582263	0.004401994327545973	NM_001104548
0.6463492626582263	0.004475216993255198	NM_014675
0.6463492626582263	0.004506252475252637	NM_006572
0.6463492626582263	0.004516793395018955	NM_001136190
0.6463492626582263	0.004516793395018955	NM_017773
0.6463492626582263	0.0045470275417860105	NM_032023
0.6463492626582263	0.004598763993778553	NM_005430
0.6463492626582263	0.004651607155040823	NM_001080410
0.6463492626582263	0.004667424371729964	NM_033302
0.6463492626582263	0.004667424371729964	NM_033303
0.6463492626582263	0.004667424371729992	NM_033304
0.6463492626582263	0.004667424371730019	NM_000680
0.6463492626582263	0.004735639612678211	NM_001079811
0.6463492626582263	0.00473563961267825	NM_000404
0.6463492626582263	0.004735639612678287	NM_001135602
0.6463492626582263	0.004804423753334589	NM_181670
0.6463492626582263	0.0048465606104297855	NM_004419
0.6463492626582263	0.004959639908715186	NM_207103
0.6463492626582263	0.005079082121024713	NM_001145523
0.6463492626582263	0.005100099671369786	NR_026852
0.6463492626582263	0.005108172627682857	NM_001665
0.6463492626582263	0.005142834254898473	NM_005436
0.6463492626582263	0.005144614229007398	NM_001098521
0.6463492626582263	0.005144614229007439	NM_001098522
0.6463492626582263	0.005144614229007439	NM_001098523
0.6463492626582263	0.005144614229007439	NM_006410
0.6463492626582263	0.0051446142290074446	NM_001098520
0.6463492626582263	0.0052378611381950334	NM_001146337
0.6463492626582263	0.005237861138195143	NM_152406
0.6463492626582263	0.00525445716182691	NM_144649
0.6463492626582263	0.0052544571618270254	NM_001145153
0.6463492626582263	0.005272187734895752	NM_001098518
0.6463492626582263	0.00529119208685004	NM_002393
0.6463492626582263	0.00529119208685004	NR_024171
0.6463492626582263	0.005303538590440783	NM_003945
0.6463492626582263	0.005338171820772561	NM_004911
0.6463492626582263	0.005358261933029639	NM_005932
0.6463492626582263	0.005421000479578073	NM_147191
0.6463492626582263	0.00548948109450297	NM_005168
0.6463492626582263	0.005530093224957572	NR_026827
0.6463492626582263	0.005602954715078819	NM_020140
0.6463492626582263	0.005666227669016451	NM_015311
0.6463492626582263	0.005680123685366376	NM_014509
0.6463492626582263	0.005685516251261186	NM_000782
0.6463492626582263	0.005685516251261186	NM_001128915
0.6463492626582263	0.005693644662620814	NM_015834
0.6463492626582263	0.0056936446626208205	NM_001160230
0.6463492626582263	0.0056936446626208856	NM_001112
0.6463492626582263	0.005693644662620898	NM_015833
0.6463492626582263	0.005693644662620936	NR_027674
0.6463492626582263	0.005693644662621043	NR_027672
0.6463492626582263	0.005693644662621111	NR_027673
0.6463492626582263	0.005709647005246599	NM_201648
0.6463492626582263	0.005751451486251966	NM_001134476
0.6463492626582263	0.0058447079398981205	NR_002923
0.6463492626582263	0.005941067696368269	NM_004296
0.6463492626582263	0.006133286247064623	NR_003355
0.6463492626582263	0.006188604977857857	NR_030629
0.6463492626582263	0.006188604977857869	NR_030236
0.6463492626582263	0.00618860497785788	NR_030586
0.6463492626582263	0.006190226515689248	NM_000674
0.6463492626582263	0.006190226515689277	NM_001048230
0.6463492626582263	0.0062293391399242	NM_020870
0.6463492626582263	0.006246165616396119	NR_026657
0.6463492626582263	0.006287562292162888	NM_015230
0.6463492626582263	0.006478852442736807	NR_027242
0.6463492626582263	0.006507156523417685	NR_003335
0.6463492626582263	0.006616198021946717	NM_001145855
0.6463492626582263	0.006619772069049992	NM_031459
0.6463492626582263	0.006697336183633612	NM_001169109
0.6463492626582263	0.006698321701693899	NM_019066
0.6463492626582263	0.0067131492691894345	NM_031947
0.6463492626582263	0.006804450215348783	NM_001981
0.6463492626582263	0.006820950291363128	NM_006714
0.6463492626582263	0.006857753352137938	NM_001129884
