q_value	p_value	UCSC_RefGene_Accession
0.7155154988283058	4.661678987958185e-05	NR_001580
0.7155154988283058	0.00012264152837199543	NM_001101391
0.7155154988283058	0.00013957907960294167	NM_001166695
0.7155154988283058	0.00016765327305171495	NM_022049
0.7155154988283058	0.0003095283545826743	NM_024901
0.7155154988283058	0.00048246202439715115	NM_145168
0.7155154988283058	0.0004837573117129041	NM_001113523
0.7155154988283058	0.0004837573117129041	NM_152615
0.7155154988283058	0.0006010287487967404	NM_016445
0.7155154988283058	0.0006760071968602891	NM_007021
0.7155154988283058	0.0007260592008693749	NM_001014985
0.7155154988283058	0.0007744824930029019	NM_152788
0.7155154988283058	0.0007924175465863438	NM_001161573
0.7155154988283058	0.0009778028355850298	NM_001024675
0.7155154988283058	0.0009986441079319393	NM_181670
0.7155154988283058	0.0010559605115195777	NM_000680
0.7155154988283058	0.0010559605115195887	NM_033303
0.7155154988283058	0.001055960511519594	NM_033304
0.7155154988283058	0.0010559605115195957	NM_033302
0.7155154988283058	0.0010684238396127107	NM_033543
0.7155154988283058	0.0010684238396127179	NM_001098506
0.7155154988283058	0.00109124931547105	NM_001014342
0.7155154988283058	0.001097438856364623	NM_001085049
0.7155154988283058	0.0011168481963975058	NM_019054
0.7155154988283058	0.0011595713715710657	NM_004866
0.7155154988283058	0.001249535494474746	NM_006714
0.7155154988283058	0.0012911162558786762	NM_001005176
0.7155154988283058	0.0012911162558786762	NM_007237
0.7155154988283058	0.0013892988747531458	NM_001039396
0.7155154988283058	0.0014114106271820323	NM_024329
0.7155154988283058	0.0015272410503745172	NM_052923
0.7155154988283058	0.0015506833363085996	NM_001136482
0.7155154988283058	0.001568236095730499	NM_152724
0.7155154988283058	0.0015682360957305016	NM_012425
0.7155154988283058	0.0016088782324677128	NM_006750
0.7155154988283058	0.0016122027121966195	NM_001006937
0.7155154988283058	0.001612202712196627	NM_024863
0.7155154988283058	0.0016122027121966446	NM_001006936
0.7155154988283058	0.001612202712196655	NM_001006935
0.7155154988283058	0.0017355367479713695	NM_012088
0.7155154988283058	0.0018984289678350076	NM_005260
0.7155154988283058	0.0018984289678350204	NM_014402
0.7155154988283058	0.0019220275547627147	NM_001001666
0.7155154988283058	0.002034248222395463	NM_182554
0.7155154988283058	0.0020342482223954894	NM_001042427
0.7155154988283058	0.0020912222124275623	NM_012323
0.7155154988283058	0.0020912222124275797	NM_001161574
0.7155154988283058	0.0020912222124275883	NM_001161572
0.7155154988283058	0.0021991995942078346	NR_027795
0.7155154988283058	0.0022125428419479854	NM_001558
0.7155154988283058	0.002212542841948005	NR_026691
0.7155154988283058	0.0022164972051125437	NM_031947
0.7155154988283058	0.002222223672994232	NM_020140
0.7155154988283058	0.0022406871053709467	NM_004172
0.7155154988283058	0.002335677547056667	NM_022073
0.7155154988283058	0.0023718144962414016	NR_026852
0.7155154988283058	0.0025146949737950767	NM_031456
0.7155154988283058	0.002545902092560497	NM_152793
0.7155154988283058	0.002643408290179794	NM_001145027
0.7155154988283058	0.0026822594465167426	NM_175067
0.7155154988283058	0.002770546269536658	NM_004911
0.7155154988283058	0.00281241813827291	NM_005436
0.7155154988283058	0.0028224543213331258	NM_080591
0.7155154988283058	0.002822454321333184	NM_000962
0.7155154988283058	0.0029436602097254877	NM_020759
0.7155154988283058	0.002972460466455102	NM_002168
0.7155154988283058	0.003004792060466455	NR_030301
0.7155154988283058	0.0032404033860197463	NR_029610
0.7155154988283058	0.003262603308726609	NM_001535
0.7155154988283058	0.0032626033087266217	NM_206962
0.7155154988283058	0.003305747743944096	NM_000072
0.7155154988283058	0.0033223664912236128	NM_133477
0.7155154988283058	0.0033313857203643707	NM_018945
0.7155154988283058	0.0033452119315858305	NM_024759
0.7155154988283058	0.0033853390335018907	NM_152721
0.7155154988283058	0.0034879816661257646	NM_002155
0.7155154988283058	0.0035436499463199016	NM_001127203
0.7155154988283058	0.003543649946320022	NM_001127202
0.7155154988283058	0.0035436499463200374	NM_018386
0.7155154988283058	0.0035565156046180294	NM_004558
0.7155154988283058	0.0035807100020504813	NM_005408
0.7155154988283058	0.0035845247465483305	NR_002577
0.7155154988283058	0.0037774023296183496	NM_001135864
0.7155154988283058	0.003863985734289329	NM_016579
0.7155154988283058	0.0038639857342893523	NM_001165895
0.7155154988283058	0.0038900170514104804	NR_026936
0.7155154988283058	0.004019524965852194	NM_001001548
0.7155154988283058	0.00405818066461881	NR_027916
0.7155154988283058	0.004067037378051979	NR_027288
